Index,Country,Country code,Type,Parent code,"1,950.00","1,951.00","1,952.00",1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,WORLD,900,World,0,"2,536,431.02","2,584,034.23","2,630,861.69","2,677,609.06","2,724,846.75","2,773,019.92","2,822,443.25","2,873,306.06","2,925,686.68","2,979,576.15","3,034,949.72","3,091,843.51","3,150,420.76","3,211,000.95","3,273,978.27","3,339,583.51","3,407,922.63","3,478,770.10","3,551,599.44","3,625,680.97","3,700,437.04","3,775,760.03","3,851,650.59","3,927,780.52","4,003,794.18","4,079,480.47","4,154,666.83","4,229,505.92","4,304,533.60","4,380,506.19","4,458,003.47","4,536,996.62","4,617,386.53","4,699,569.19","4,784,011.52","4,870,921.67","4,960,568.00","5,052,522.00","5,145,425.99","5,237,441.43","5,327,231.04","5,414,289.38","5,498,919.89","5,581,597.60","5,663,150.43","5,744,212.93","5,824,891.93","5,905,045.65","5,984,794.08","6,064,239.03","6,143,493.81","6,222,626.53","6,301,773.17","6,381,185.14","6,461,159.39","6,541,906.96","6,623,517.92","6,705,946.64","6,789,088.67","6,872,766.99","6,956,823.59","7,041,194.17","7,125,827.96","7,210,582.04","7,295,290.76","7,379,796.97","7,464,021.93","7,547,858.90","7,631,091.11","7,713,468.21","7,794,798.73"
2,UN development groups,1803,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
3,More developed regions,901,Development Group,1803,"814,818.91","824,003.51","833,720.17","843,787.54","854,060.46","864,429.51","874,823.54","885,207.01","895,575.90","905,949.17","916,344.41","926,751.85","937,111.48","947,303.40","957,175.40","966,624.19","975,584.91","984,097.41","992,293.27","1,000,365.65","1,008,451.91","1,016,600.69","1,024,762.96","1,032,860.71","1,040,773.52","1,048,416.23","1,055,773.87","1,062,884.62","1,069,781.20","1,076,514.38","1,083,125.60","1,089,607.26","1,095,957.01","1,102,226.77","1,108,482.39","1,114,763.00","1,121,097.64","1,127,452.52","1,133,726.57","1,139,778.90","1,145,507.68","1,150,893.43","1,155,966.40","1,160,737.00","1,165,231.55","1,169,481.47","1,173,489.82","1,177,284.07","1,180,954.36","1,184,615.56","1,188,359.41","1,192,204.36","1,196,155.66","1,200,271.25","1,204,613.39","1,209,215.04","1,214,107.11","1,219,250.49","1,224,518.30","1,229,735.18","1,234,767.52","1,239,557.45","1,244,114.53","1,248,453.53","1,252,615.11","1,256,622.19","1,260,478.67","1,264,146.38","1,267,558.90","1,270,630.32","1,273,304.26"
4,Less developed regions,902,Development Group,1803,"1,721,612.11","1,760,030.72","1,797,141.52","1,833,821.52","1,870,786.30","1,908,590.40","1,947,619.71","1,988,099.05","2,030,110.78","2,073,626.98","2,118,605.30","2,165,091.66","2,213,309.28","2,263,697.55","2,316,802.87","2,372,959.32","2,432,337.72","2,494,672.70","2,559,306.17","2,625,315.32","2,691,985.13","2,759,159.34","2,826,887.63","2,894,919.81","2,963,020.66","3,031,064.25","3,098,892.96","3,166,621.30","3,234,752.40","3,303,991.81","3,374,877.87","3,447,389.36","3,521,429.51","3,597,342.42","3,675,529.13","3,756,158.66","3,839,470.36","3,925,069.48","4,011,699.43","4,097,662.53","4,181,723.36","4,263,395.95","4,342,953.49","4,420,860.60","4,497,918.88","4,574,731.46","4,651,402.11","4,727,761.58","4,803,839.72","4,879,623.47","4,955,134.40","5,030,422.17","5,105,617.52","5,180,913.89","5,256,546.00","5,332,691.92","5,409,410.80","5,486,696.16","5,564,570.37","5,643,031.81","5,722,056.07","5,801,636.72","5,881,713.43","5,962,128.51","6,042,675.65","6,123,174.78","6,203,543.27","6,283,712.52","6,363,532.21","6,442,837.89","6,521,494.47"
5,Least developed countries,941,Development Group,902,"195,427.79","199,180.39","203,015.20","206,985.64","211,133.08","215,486.29","220,061.42","224,862.26","229,882.00","235,105.73","240,518.40","246,113.62","251,900.66","257,908.04","264,174.08","270,720.94","277,573.10","284,708.61","292,046.00","299,473.69","306,916.90","314,345.05","321,797.95","329,357.73","337,142.88","345,242.74","353,691.45","362,475.16","371,577.36","380,963.36","390,612.54","400,528.97","410,740.62","421,279.18","432,185.31","443,491.30","455,193.68","467,290.49","479,814.03","492,803.04","506,275.63","520,262.44","534,731.00","549,559.28","564,581.12","579,681.70","594,801.27","609,983.28","625,342.13","641,046.83","657,215.85","673,903.09","691,061.43","708,587.94","726,331.17","744,190.51","762,132.50","780,219.57","798,563.43","817,322.62","836,614.84","856,471.44","876,867.23","897,793.44","919,222.96","941,131.32","963,519.72","986,385.40","1,009,691.25","1,033,388.87","1,057,438.16"
6,"Less developed regions, excluding least developed countries",934,Development Group,902,"1,526,184.32","1,560,850.33","1,594,126.32","1,626,835.88","1,659,653.21","1,693,104.11","1,727,558.29","1,763,236.79","1,800,228.78","1,838,521.25","1,878,086.91","1,918,978.04","1,961,408.63","2,005,789.51","2,052,628.80","2,102,238.38","2,154,764.62","2,209,964.09","2,267,260.17","2,325,841.62","2,385,068.23","2,444,814.29","2,505,089.68","2,565,562.08","2,625,877.78","2,685,821.51","2,745,201.51","2,804,146.14","2,863,175.04","2,923,028.45","2,984,265.32","3,046,860.39","3,110,688.89","3,176,063.25","3,243,343.82","3,312,667.37","3,384,276.68","3,457,778.99","3,531,885.40","3,604,859.49","3,675,447.74","3,743,133.52","3,808,222.49","3,871,301.33","3,933,337.76","3,995,049.75","4,056,600.84","4,117,778.29","4,178,497.59","4,238,576.64","4,297,918.55","4,356,519.08","4,414,556.08","4,472,325.95","4,530,214.83","4,588,501.41","4,647,278.30","4,706,476.58","4,766,006.95","4,825,709.19","4,885,441.23","4,945,165.28","5,004,846.19","5,064,335.07","5,123,452.69","5,182,043.46","5,240,023.55","5,297,327.12","5,353,840.96","5,409,449.02","5,464,056.31"
7,"Less developed regions, excluding China",948,Development Group,1803,"1,157,420.01","1,179,932.72","1,203,962.86","1,229,440.19","1,256,302.72","1,284,496.76","1,313,976.62","1,344,705.09","1,376,652.12","1,409,793.64","1,444,107.26","1,479,568.16","1,516,144.76","1,553,797.45","1,592,482.97","1,632,168.75","1,672,841.76","1,714,499.92","1,757,138.52","1,800,757.60","1,845,364.17","1,890,969.13","1,937,592.56","1,985,264.48","2,034,022.58","2,083,907.84","2,134,887.40","2,186,987.57","2,240,373.27","2,295,259.34","2,351,776.35","2,409,960.36","2,469,693.82","2,530,756.16","2,592,840.95","2,655,695.39","2,719,227.05","2,783,394.37","2,848,054.68","2,913,059.66","2,978,289.41","3,043,665.94","3,109,147.05","3,174,700.31","3,240,314.00","3,305,985.14","3,371,697.98","3,437,455.98","3,503,309.24","3,569,329.16","3,635,583.00","3,702,081.00","3,768,852.38","3,836,005.74","3,903,674.97","3,971,957.38","4,040,882.43","4,110,430.52","4,180,584.76","4,251,306.81","4,322,553.37","4,394,312.90","4,466,549.24","4,539,157.45","4,612,004.83","4,684,981.35","4,758,019.35","4,831,087.29","4,904,154.60","4,977,203.71","5,050,207.59"
8,Land-locked Developing Countries (LLDC),1636,Special other,1803,"103,803.46","105,870.28","108,079.45","110,422.98","112,894.29","115,488.18","118,201.00","121,030.35","123,975.28","127,035.50","130,210.23","133,497.25","136,891.36","140,384.28","143,965.75","147,627.74","151,360.24","155,160.83","159,036.62","162,999.63","167,054.85","171,216.12","175,471.52","179,770.32","184,044.36","188,250.85","192,374.93","196,449.66","200,540.07","204,737.16","209,112.91","213,677.20","218,427.92","223,408.83","228,668.60","234,235.22","240,137.15","246,350.67","252,785.90","259,316.87","265,852.00","272,365.93","278,882.18","285,419.54","292,014.30","298,698.48","305,470.57","312,333.92","319,332.73","326,523.08","333,947.03","341,630.36","349,570.84","357,748.06","366,126.84","374,684.86","383,416.64","392,342.49","401,496.61","410,925.25","420,661.37","430,709.34","441,057.03","451,698.91","462,623.55","473,816.86","485,276.86","496,988.25","508,906.04","520,972.69","533,143.40"
9,Small Island Developing States (SIDS),1637,Special other,1803,"23,771.12","24,209.07","24,684.57","25,187.41","25,710.39","26,248.78","26,800.68","27,366.95","27,950.62","28,556.33","29,188.02","29,846.56","30,527.70","31,221.32","31,913.90","32,595.49","33,261.21","33,913.41","34,558.78","35,207.91","35,868.05","36,542.23","37,226.95","37,914.76","38,594.83","39,260.21","39,907.81","40,542.25","41,172.75","41,812.56","42,471.24","43,152.23","43,853.05","44,570.24","45,297.83","46,031.70","46,770.06","47,514.40","48,266.85","49,030.67","49,807.71","50,597.74","51,398.05","52,203.20","53,006.51","53,802.26","54,591.59","55,374.39","56,144.07","56,891.88","57,613.59","58,302.16","58,963.24","59,620.69","60,307.20","61,044.55","61,843.01","62,691.34","63,564.90","64,427.57","65,253.14","66,034.53","66,778.72","67,490.68","68,180.36","68,855.52","69,514.96","70,157.52","70,791.84","71,428.83","72,076.10"
10,World Bank income groups,1802,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
